NAME,state,acs_year,median_household_income,median_age,total_population,unemployment_rate,housing_occupancy_rate
Alabama,1,2025,58741,39.8,5089234,0.054,0.341
Alaska,2,2025,85230,35.4,742891,0.059,0.291
Arizona,4,2025,73892,38.8,7623451,0.049,0.337
Arkansas,5,2025,55124,39.0,3089234,0.051,0.347
California,6,2025,93410,37.9,40123456,0.055,0.357
Colorado,8,2025,89204,37.7,5912345,0.039,0.332
Connecticut,9,2025,91587,41.5,3678234,0.048,0.38
Delaware,10,2025,80112,41.5,1012345,0.045,0.368
District of Columbia,11,2025,103845,34.7,712345,0.063,0.425
Florida,12,2025,68934,43.3,22012345,0.043,0.345
Georgia,13,2025,72780,37.4,10923456,0.049,0.354
Hawaii,15,2025,96230,40.3,1489234,0.041,0.393
Idaho,16,2025,74102,37.5,1912345,0.037,0.338
Illinois,17,2025,79815,39.1,12989234,0.056,0.372
Indiana,18,2025,67543,38.2,6912345,0.043,0.354
Iowa,19,2025,71388,38.9,3234567,0.036,0.363
Kansas,20,2025,69274,37.3,2978234,0.041,0.358
Kentucky,21,2025,59984,39.5,4589234,0.051,0.351
Louisiana,22,2025,58741,38.3,4712345,0.059,0.349
Maine,23,2025,72934,45.4,1389234,0.041,0.359
Maryland,24,2025,103298,39.8,6289234,0.044,0.371
Massachusetts,25,2025,101245,40.1,7123456,0.043,0.374
Michigan,26,2025,68721,40.8,10189234,0.05,0.359
Minnesota,27,2025,85904,38.9,5812345,0.039,0.363
Mississippi,28,2025,53712,38.0,2989234,0.06,0.342
Missouri,29,2025,66834,39.4,6212345,0.044,0.355
Montana,30,2025,68541,41.1,1112345,0.043,0.337
Nebraska,31,2025,73984,37.5,1989234,0.036,0.361
Nevada,32,2025,69412,38.9,3189234,0.057,0.346
New Hampshire,33,2025,91234,43.8,1401234,0.031,0.37
New Jersey,34,2025,98541,40.6,9412345,0.049,0.38
New Mexico,35,2025,58102,38.8,2145678,0.059,0.34
New York,36,2025,83724,39.5,20489234,0.056,0.383
North Carolina,37,2025,68291,39.5,10589234,0.045,0.349
North Dakota,38,2025,75012,35.9,789234,0.032,0.349
Ohio,39,2025,68734,39.9,11912345,0.048,0.359
Oklahoma,40,2025,60812,37.4,4012345,0.045,0.35
Oregon,41,2025,79341,40.6,4312345,0.05,0.343
Pennsylvania,42,2025,76223,41.3,13189234,0.047,0.371
Rhode Island,44,2025,82541,41.2,1112345,0.049,0.383
South Carolina,45,2025,64923,39.9,5212345,0.045,0.349
South Dakota,46,2025,73102,37.3,901234,0.032,0.356
Tennessee,47,2025,66012,39.8,7012345,0.044,0.35
Texas,48,2025,74218,35.8,29812345,0.046,0.348
Utah,49,2025,88012,31.9,3345678,0.035,0.335
Vermont,50,2025,77341,43.7,656789,0.035,0.36
Virginia,51,2025,91823,38.8,8745678,0.041,0.365
Washington,53,2025,96341,38.3,7845678,0.05,0.346
West Virginia,54,2025,55934,43.0,1823456,0.057,0.35
Wisconsin,55,2025,73218,40.6,5978234,0.04,0.365
Wyoming,56,2025,73641,38.3,589234,0.039,0.342
